batterId,playerId,name
407855,407855,"Rogers, Edward (407855)"
407861,407861,"Hudson, Orlando (407861)"
407871,407871,"Thurston, Joseph (407871)"
407879,407879,"DeVore, Douglas (407879)"
407880,407880,"Terrero, Luis (407880)"
407887,407887,"Alvarez, Antonio (407887)"
407899,407899,"Ugueto, Luis (407899)"
407905,407905,"Escalona, Felix (407905)"
407914,407914,"Valenzuela, Mario (407914)"
407931,407931,"Bass, Jayson (407931)"
408038,408038,"Closser, JD (408038)"
408042,408042,"Laird, Gerald (408042)"
408050,408050,"Ryan, Michael (408050)"
408071,408071,"Zuniga, Jose (408071)"
408097,408097,"Munoz, Arnaldo (408097)"
408107,408107,"Nelson, Bryant (408107)"
408199,408199,"Garabito, Eddy (408199)"
408201,408201,"Clark, Howard (408201)"
408202,408202,"Garcia, Luis (408202)"
408226,408226,"Brito, Juan (408226)"
408227,408227,"Pellow, Kit (408227)"
408232,408232,"Olmedo, Rainer (408232)"
408233,408233,"Campos, Francisco (408233)"
408234,408234,"Cabrera, Jose (408234)"
408236,408236,"Gonzalez, Adrian (408236)"
408240,408240,"Matos, Julius (408240)"
408242,408242,"Nieves, Wilbert (408242)"
408244,408244,"Castro, Bernabel (408244)"
408245,408245,"Amezcua, Adan (408245)"
408252,408252,"Phillips, Brandon (408252)"
408299,408299,"Infante, Omar (408299)"
408305,408305,"Cantu, Jorge (408305)"
408311,408311,"Huber, Justin (408311)"
408312,408312,"Jacobs, Michael (408312)"
420673,420673,"Watson, Matthew (420673)"
421124,421124,"Santiago, Ramon (421124)"
421684,421684,"Snelling, Christopher (421684)"
424284,424284,"Roneberg, Brett (424284)"
424366,424366,"Griffin, John-Ford (424366)"
424445,424445,"Fernandez, Alexander (424445)"
424706,424706,"McDougall, Marshall (424706)"
425106,425106,"Rushford, James (425106)"
425346,425346,"Rivera, Carlos (425346)"
425428,425428,"De Paula, Jorge (425428)"
425472,425472,"Machado, Alejandro (425472)"
425482,425482,"Jackson, Nicolas (425482)"
425489,425489,"Castillo, Jose (425489)"
425491,425491,"Doumit, Ryan (425491)"
425494,425494,"Richardson, Juan (425494)"
425503,425503,"Bynum, Freddie (425503)"
425506,425506,"Gerut, Joseph (425506)"
425509,425509,"Peralta, Jhonny (425509)"
425511,425511,"Redman, Prentice (425511)"
425512,425512,"Duncan, Jeffrey (425512)"
425526,425526,"Laforest, Pierre (425526)"
425543,425543,"Wilson, Joshua (425543)"
425549,425549,"Barmes, Clint (425549)"
425551,425551,"Freeman, Raphael (425551)"
425557,425557,"Baker, Jeffrey (425557)"
425565,425565,"Quiroz, Guillermo (425565)"
425567,425567,"Rios, Alexis (425567)"
425631,425631,"Hammock, Robert (425631)"
425632,425632,"Kata, Matthew (425632)"
425634,425634,"Hessman, Michael (425634)"
425649,425649,"Cruz, Enrique (425649)"
425650,425650,"Dubois, Jason (425650)"
425659,425659,"Luna, Hector (425659)"
